[2022-06-30T03:35:08-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2022-06-30T03:35:41-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-06-30T04:35:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-06-30T04:37:16-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-06-30T04:37:16-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-04T22:37:42-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-04T22:37:43-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-04T23:32:57-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-04T23:32:57-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-04T23:38:05-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-04T23:38:05-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-04T23:42:17-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-04T23:42:17-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-06T17:08:11-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-06T17:08:11-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-06T17:46:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-06T17:46:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-06T23:01:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-06T23:01:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-06T23:29:55-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-06T23:29:55-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-06T23:30:29-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-06T23:30:29-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T00:07:41-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T00:07:41-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T00:08:19-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T00:08:20-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T00:16:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T00:16:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T00:16:58-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
