[2020-10-07T22:44:57-0700] DFHack 0.47.04-r2-0-gf2b0f012 on Windows; cwd md5: 9ee1df31c8; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2020-10-14T22:28:37-0700] DFHack 0.47.04-r2-0-gf2b0f012 on Windows; cwd md5: 9ee1df31c8; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-14T23:21:42-0700] DFHack 0.47.04-r2-0-gf2b0f012 on Windows; cwd md5: 9ee1df31c8; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-14T23:26:52-0700] DFHack 0.47.04-r2-0-gf2b0f012 on Windows; cwd md5: 9ee1df31c8; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-14T23:26:52-0700] DFHack 0.47.04-r2-0-gf2b0f012 on Windows; cwd md5: 9ee1df31c8; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-27T22:08:54-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-27T22:08:54-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-27T22:09:33-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-27T22:09:33-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-27T22:11:22-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-27T22:11:22-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-27T22:32:35-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-27T22:32:35-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2020-10-28T15:50:07-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2020-10-28T15:50:07-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2020-10-28T15:52:44-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2020-10-28T15:52:44-0700] DFHack 0.47.04-r3-0-gb343d008 on Windows; cwd md5: f77c6e9fae; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-01-05T22:13:52-0800] DFHack 0.47.05-r2-0-gdde58996 on Windows; cwd md5: 1d1d55a7c2; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
